Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Underlying Price,Years To Expiration
SPY221230C00443000,2022-02-28 10:05AM EST,443.0,29.36,27.48,29.15,0.0,-,26,30,22.13%,430.78,0.8690476190476191
SPY221230C00444000,2022-02-25 10:19AM EST,444.0,26.59,26.95,28.62,0.0,-,1,26,22.05%,430.78,0.8690476190476191
SPY221230C00445000,2022-03-01 12:06PM EST,445.0,27.25,26.48,28.12,1.23,+4.73%,4,58,21.98%,430.78,0.8690476190476191
SPY221230C00446000,2022-03-01 11:54AM EST,446.0,26.8,25.89,27.61,-3.14,-10.49%,1,32,21.90%,430.78,0.8690476190476191
SPY221230C00447000,2022-02-24 12:00PM EST,447.0,19.86,25.51,27.03,0.0,-,1,12,21.78%,430.78,0.8690476190476191
SPY221230C00448000,2022-02-24 10:36AM EST,448.0,18.61,24.98,26.59,0.0,-,1,29,21.74%,430.78,0.8690476190476191
SPY221230C00449000,2022-02-24 9:35AM EST,449.0,17.08,24.27,25.91,0.0,-,1,16,21.55%,430.78,0.8690476190476191
SPY221230C00450000,2022-02-28 9:33AM EST,450.0,26.65,23.8,25.44,1.54,+6.13%,1,364,21.49%,430.78,0.8690476190476191
SPY221230C00451000,2022-02-28 9:32AM EST,451.0,25.0,23.23,24.93,0.0,-,1,16,21.40%,430.78,0.8690476190476191
SPY221230C00452000,2022-02-10 11:02AM EST,452.0,36.33,22.92,24.46,0.0,-,3,23,21.33%,430.78,0.8690476190476191
SPY221230C00453000,2022-02-28 10:13AM EST,453.0,23.5,22.28,23.92,0.0,-,3,11,21.22%,430.78,0.8690476190476191
SPY221230C00454000,2022-03-01 10:07AM EST,454.0,24.0,21.8,23.33,-9.0,-27.27%,1,11,21.06%,430.78,0.8690476190476191
SPY221230C00455000,2022-02-23 11:59AM EST,455.0,20.5,21.36,22.95,0.0,-,7,47,21.05%,430.78,0.8690476190476191
SPY221230C00456000,2022-02-02 2:15PM EST,456.0,34.84,20.95,22.48,0.0,-,1,23,20.96%,430.78,0.8690476190476191
SPY221230C00457000,2022-02-25 3:27PM EST,457.0,23.15,20.47,22.03,0.0,-,1,4,20.89%,430.78,0.8690476190476191
SPY221230C00458000,2022-02-28 11:34AM EST,458.0,23.0,19.9,21.44,0.0,-,1,22,20.73%,430.78,0.8690476190476191
SPY221230C00459000,2022-02-24 9:32AM EST,459.0,13.23,19.4,20.94,0.0,-,1,5,20.62%,430.78,0.8690476190476191
SPY221230C00460000,2022-02-28 1:53PM EST,460.0,21.0,18.94,20.46,0.0,-,4,135,20.52%,430.78,0.8690476190476191
SPY221230C00461000,2022-02-24 10:18AM EST,461.0,13.05,18.48,19.98,0.0,-,2,15,20.42%,430.78,0.8690476190476191
SPY221230C00462000,2022-02-25 12:13PM EST,462.0,19.95,18.08,19.59,0.0,-,1,8,20.37%,430.78,0.8690476190476191
SPY221230C00463000,2022-02-25 12:13PM EST,463.0,19.5,17.58,19.06,0.0,-,2,19,20.23%,430.78,0.8690476190476191
SPY221230C00464000,2022-01-13 3:56PM EST,464.0,35.73,21.79,23.52,0.0,-,1,2,23.39%,430.78,0.8690476190476191
SPY221230C00465000,2022-02-28 1:26PM EST,465.0,18.07,16.73,18.18,0.0,-,2,58,20.05%,430.78,0.8690476190476191
SPY221230C00466000,2022-02-14 10:28AM EST,466.0,21.37,16.27,17.69,0.0,-,2,8,19.92%,430.78,0.8690476190476191
SPY221230C00467000,2022-02-28 9:49AM EST,467.0,17.32,15.9,17.36,0.0,-,1,32,19.90%,430.78,0.8690476190476191
SPY221230C00468000,2022-02-24 9:42AM EST,468.0,10.0,15.49,16.91,0.0,-,1,35,19.79%,430.78,0.8690476190476191
SPY221230C00469000,2022-02-23 11:22AM EST,469.0,14.02,15.06,16.49,0.0,-,4,14,19.70%,430.78,0.8690476190476191
SPY221230C00470000,2022-02-28 9:53AM EST,470.0,16.1,14.65,16.06,0.0,-,2,151,19.60%,430.78,0.8690476190476191
SPY221230C00471000,2022-02-24 1:38PM EST,471.0,10.62,14.23,15.68,0.0,-,62,60,19.53%,430.78,0.8690476190476191
SPY221230C00472000,2022-02-24 12:15PM EST,472.0,10.0,13.84,15.2,0.0,-,13,23,19.38%,430.78,0.8690476190476191
SPY221230C00473000,2022-02-22 10:52AM EST,473.0,13.72,13.44,14.86,0.0,-,1,16,19.33%,430.78,0.8690476190476191
SPY221230C00474000,2022-02-28 12:41PM EST,474.0,14.4,13.12,14.49,0.0,-,1,11,19.26%,430.78,0.8690476190476191
SPY221230C00475000,2022-02-25 12:52PM EST,475.0,14.25,12.78,14.1,0.0,-,12,115,19.16%,430.78,0.8690476190476191
SPY221230C00476000,2022-02-24 9:33AM EST,476.0,7.8,12.37,13.63,0.0,-,40,46,19.01%,430.78,0.8690476190476191
SPY221230C00477000,2022-02-25 2:01PM EST,477.0,13.74,11.98,13.29,0.0,-,2,14,18.94%,430.78,0.8690476190476191
SPY221230C00478000,2022-02-22 11:50AM EST,478.0,12.24,11.65,12.98,0.0,-,1,15,18.90%,430.78,0.8690476190476191
SPY221230C00479000,2022-02-28 12:31PM EST,479.0,12.65,11.35,12.67,0.0,-,2,7,18.85%,430.78,0.8690476190476191
SPY221230C00480000,2022-02-28 11:41AM EST,480.0,12.95,11.05,12.23,0.0,-,2,291,18.69%,430.78,0.8690476190476191
SPY221230C00481000,2022-02-22 10:25AM EST,481.0,12.46,10.7,11.87,0.0,-,-,10,18.60%,430.78,0.8690476190476191
SPY221230C00482000,2022-02-14 12:01AM EST,482.0,17.68,10.28,11.58,0.0,-,-,1,18.55%,430.78,0.8690476190476191
SPY221230C00483000,2022-02-24 10:20AM EST,483.0,7.2,10.05,11.34,0.0,-,20,26,18.54%,430.78,0.8690476190476191
SPY221230C00484000,2022-01-05 3:29PM EST,484.0,28.39,15.68,16.88,0.0,-,-,1,22.77%,430.78,0.8690476190476191
SPY221230C00485000,2022-02-25 12:33PM EST,485.0,10.88,9.43,10.65,0.0,-,6,5107,18.34%,430.78,0.8690476190476191
SPY221230C00486000,2022-02-28 3:55PM EST,486.0,10.25,9.09,10.36,0.0,-,5,11,18.28%,430.78,0.8690476190476191
SPY221230C00487000,2022-02-23 1:37PM EST,487.0,7.72,8.76,10.06,0.0,-,40,3,18.20%,430.78,0.8690476190476191
SPY221230C00488000,2022-02-24 12:57PM EST,488.0,5.98,8.55,9.78,0.0,-,1,17,18.14%,430.78,0.8690476190476191
SPY221230C00489000,2022-02-23 11:21AM EST,489.0,7.53,8.17,9.48,0.0,-,27,26,18.06%,430.78,0.8690476190476191
SPY221230C00490000,2022-02-25 10:08AM EST,490.0,7.53,8.0,9.17,0.0,-,1,123,17.96%,430.78,0.8690476190476191
SPY221230C00491000,2022-02-02 12:49PM EST,491.0,15.2,7.68,8.94,0.0,-,1,4,17.93%,430.78,0.8690476190476191
SPY221230C00492000,2022-02-11 1:01PM EST,492.0,11.93,7.43,8.63,0.0,-,6,5,17.83%,430.78,0.8690476190476191
SPY221230C00493000,2022-03-01 9:35AM EST,493.0,8.9,7.21,8.42,-1.15,-11.44%,2,4,17.80%,430.78,0.8690476190476191
SPY221230C00495000,2022-02-25 9:35AM EST,495.0,6.72,6.75,7.84,0.0,-,3,64,17.60%,430.78,0.8690476190476191
SPY221230C00497000,2022-02-25 1:27PM EST,497.0,7.3,6.33,7.37,0.0,-,8,37,17.48%,430.78,0.8690476190476191
SPY221230C00498000,2022-02-28 3:50PM EST,498.0,7.2,6.5,7.15,0.0,-,3,21,17.43%,430.78,0.8690476190476191
SPY221230C00499000,2022-02-24 1:50PM EST,499.0,4.51,5.9,6.88,0.0,-,15,45,17.33%,430.78,0.8690476190476191
SPY221230C00500000,2022-03-01 12:04PM EST,500.0,6.35,6.0,6.69,-0.98,-13.37%,1,510,17.29%,430.78,0.8690476190476191
SPY221230C00501000,2022-02-25 11:14AM EST,501.0,6.0,5.51,6.5,0.0,-,1,32,17.26%,430.78,0.8690476190476191
SPY221230C00502000,2022-02-10 12:17PM EST,502.0,11.2,5.33,6.3,0.0,-,1,2,17.21%,430.78,0.8690476190476191
SPY221230C00503000,2022-02-01 11:56AM EST,503.0,9.98,5.0,6.26,0.0,-,-,1,17.30%,430.78,0.8690476190476191
SPY221230C00504000,2022-03-01 10:53AM EST,504.0,5.36,5.01,5.95,-1.38,-20.47%,1,21,17.14%,430.78,0.8690476190476191
SPY221230C00505000,2022-02-28 3:59PM EST,505.0,5.7,4.81,5.7,0.0,-,3,119,17.03%,430.78,0.8690476190476191
SPY221230C00506000,2022-01-25 2:23PM EST,506.0,7.2,3.62,4.89,0.0,-,-,8,16.32%,430.78,0.8690476190476191
SPY221230C00507000,2022-02-25 9:30AM EST,507.0,4.61,4.49,5.4,0.0,-,1,5,16.99%,430.78,0.8690476190476191
SPY221230C00508000,2022-02-22 3:25PM EST,508.0,4.48,4.36,5.19,0.0,-,300,307,16.90%,430.78,0.8690476190476191
SPY221230C00510000,2022-02-28 2:08PM EST,510.0,4.45,4.08,4.88,0.0,-,5,277,16.83%,430.78,0.8690476190476191
SPY221230C00511000,2022-02-28 2:08PM EST,511.0,4.3,3.91,4.73,0.0,-,1,5,16.79%,430.78,0.8690476190476191
SPY221230C00513000,2022-02-23 10:34AM EST,513.0,3.45,3.68,4.47,0.0,-,3,9,16.75%,430.78,0.8690476190476191
SPY221230C00514000,2022-01-18 11:07AM EST,514.0,9.37,4.16,5.22,0.0,-,-,2,17.71%,430.78,0.8690476190476191
SPY221230C00515000,2022-02-25 3:59PM EST,515.0,4.17,3.44,4.18,0.0,-,1,108,16.67%,430.78,0.8690476190476191
SPY221230C00518000,2022-03-01 10:57AM EST,518.0,3.28,3.1,3.83,0.25,+8.25%,1,3,16.61%,430.78,0.8690476190476191
SPY221230C00520000,2022-02-25 10:48AM EST,520.0,3.0,3.16,3.31,0.0,-,30,343,16.18%,430.78,0.8690476190476191
SPY221230C00521000,2022-02-02 2:38PM EST,521.0,6.3,3.07,3.22,0.0,-,2,6,16.18%,430.78,0.8690476190476191
SPY221230C00522000,2022-02-07 1:59PM EST,522.0,4.85,2.98,3.12,0.0,-,1,1,16.16%,430.78,0.8690476190476191
SPY221230C00523000,2022-03-01 11:09AM EST,523.0,3.04,2.88,3.03,1.04,+52.00%,1,2,16.15%,430.78,0.8690476190476191
SPY221230C00525000,2022-03-01 11:49AM EST,525.0,2.86,2.71,2.83,0.16,+5.93%,100,767,16.09%,430.78,0.8690476190476191
SPY221230C00530000,2022-02-28 10:25AM EST,530.0,2.33,2.3,2.43,0.0,-,3,26,16.03%,430.78,0.8690476190476191
SPY221230C00535000,2022-02-28 3:59PM EST,535.0,2.15,1.95,2.09,0.0,-,2,15,15.99%,430.78,0.8690476190476191
SPY221230C00540000,2022-03-01 11:59AM EST,540.0,1.71,1.66,1.79,0.46,+36.80%,4,628,15.94%,430.78,0.8690476190476191
SPY221230C00545000,2022-02-25 1:32PM EST,545.0,1.67,1.44,1.56,0.0,-,25,205,15.96%,430.78,0.8690476190476191
SPY221230C00550000,2022-03-01 11:59AM EST,550.0,1.31,1.22,1.34,0.01,+0.77%,5,883,15.94%,430.78,0.8690476190476191
SPY221230C00555000,2022-03-01 12:07PM EST,555.0,1.08,1.06,1.17,-0.38,-26.03%,50,72,15.98%,430.78,0.8690476190476191
SPY221230C00560000,2022-02-28 9:48AM EST,560.0,0.92,0.91,1.02,0.0,-,25,360,16.01%,430.78,0.8690476190476191
SPY221230C00565000,2022-02-16 4:04PM EST,565.0,1.06,0.79,0.89,0.0,-,40,234,16.05%,430.78,0.8690476190476191
SPY221230C00570000,2022-02-23 3:37PM EST,570.0,0.55,0.68,0.79,0.0,-,1,117,16.13%,430.78,0.8690476190476191
SPY221230C00575000,2022-02-28 10:05AM EST,575.0,0.65,0.6,0.7,0.0,-,42,399,16.21%,430.78,0.8690476190476191
SPY221230C00580000,2022-02-28 10:25AM EST,580.0,0.56,0.53,0.63,0.0,-,3,15,16.33%,430.78,0.8690476190476191
SPY221230C00585000,2022-02-28 10:25AM EST,585.0,0.5,0.46,0.56,0.0,-,3,23,16.41%,430.78,0.8690476190476191
SPY221230C00590000,2022-02-24 2:30PM EST,590.0,0.33,0.42,0.5,0.0,-,50,258,16.50%,430.78,0.8690476190476191
SPY221230C00595000,2022-02-24 9:37AM EST,595.0,0.31,0.37,0.46,0.0,-,1,5,16.66%,430.78,0.8690476190476191
SPY221230C00600000,2022-03-01 11:08AM EST,600.0,0.36,0.33,0.42,0.01,+2.86%,152,1449,16.81%,430.78,0.8690476190476191
SPY221230C00605000,2022-03-01 11:30AM EST,605.0,0.31,0.3,0.38,-0.01,-3.12%,8,99,16.92%,430.78,0.8690476190476191
