Unnamed: 0,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Underlying Price,Years To Expiration
39,SPY221230P00425000,2022-02-25 1:18PM EST,425.0,32.65,34.6,36.35,0.0,-,2,56,25.21%,430.78,0.8690476190476191
40,SPY221230P00429000,2022-02-25 9:44AM EST,429.0,35.59,36.0,37.89,0.0,-,1,15,24.83%,430.78,0.8690476190476191
41,SPY221230P00430000,2022-03-01 10:00AM EST,430.0,34.43,36.3,38.3,1.99,+6.13%,1,118,24.75%,430.78,0.8690476190476191
42,SPY221230P00431000,2022-02-23 11:48AM EST,431.0,37.3,36.7,38.62,0.0,-,1,3,24.61%,430.78,0.8690476190476191
43,SPY221230P00432000,2022-02-24 9:37AM EST,432.0,45.72,37.23,39.0,0.0,-,1,13,24.50%,430.78,0.8690476190476191
44,SPY221230P00433000,2022-02-25 10:01AM EST,433.0,37.01,37.75,39.53,0.0,-,2,14,24.49%,430.78,0.8690476190476191
45,SPY221230P00434000,2022-03-01 10:40AM EST,434.0,36.86,38.08,39.83,2.61,+7.62%,143,61,24.33%,430.78,0.8690476190476191
46,SPY221230P00435000,2022-03-01 10:00AM EST,435.0,36.34,38.41,40.39,-1.26,-3.35%,1,202,24.33%,430.78,0.8690476190476191
47,SPY221230P00436000,2022-02-28 2:18PM EST,436.0,38.25,38.85,40.82,0.0,-,5,6,24.24%,430.78,0.8690476190476191
48,SPY221230P00437000,2022-02-28 12:02PM EST,437.0,36.0,39.41,41.4,0.0,-,2,5,24.25%,430.78,0.8690476190476191
49,SPY221230P00438000,2022-02-23 3:24PM EST,438.0,42.94,39.6,41.55,0.0,-,2,16,23.98%,430.78,0.8690476190476191
50,SPY221230P00439000,2022-02-16 9:38AM EST,439.0,33.61,40.07,42.12,0.0,-,3,9,23.98%,430.78,0.8690476190476191
51,SPY221230P00440000,2022-02-28 10:22AM EST,440.0,39.52,40.42,42.41,0.0,-,4,105,23.80%,430.78,0.8690476190476191
52,SPY221230P00441000,2022-02-24 12:03PM EST,441.0,46.84,40.95,42.85,0.0,-,1,22,23.70%,430.78,0.8690476190476191
53,SPY221230P00442000,2022-02-24 12:02PM EST,442.0,47.57,41.68,44.14,0.0,-,1,15,24.15%,430.78,0.8690476190476191
54,SPY221230P00443000,2022-02-22 11:14AM EST,443.0,41.0,41.66,43.75,0.0,-,3,1,23.53%,430.78,0.8690476190476191
55,SPY221230P00444000,2022-02-16 9:43AM EST,444.0,35.62,42.36,44.44,0.0,-,10,10,23.59%,430.78,0.8690476190476191
56,SPY221230P00445000,2022-02-28 2:26PM EST,445.0,42.34,42.57,44.8,0.0,-,1,68,23.44%,430.78,0.8690476190476191
57,SPY221230P00446000,2022-02-18 11:07AM EST,446.0,41.61,43.05,45.26,0.0,-,1,4,23.34%,430.78,0.8690476190476191
58,SPY221230P00447000,2022-02-22 1:15PM EST,447.0,43.97,43.66,45.82,0.0,-,1,14,23.31%,430.78,0.8690476190476191
59,SPY221230P00448000,2022-02-24 11:59AM EST,448.0,50.23,43.95,46.08,0.0,-,2,19,23.09%,430.78,0.8690476190476191
60,SPY221230P00449000,2022-02-24 1:13PM EST,449.0,51.93,44.53,46.76,0.0,-,1,19,23.13%,430.78,0.8690476190476191
61,SPY221230P00450000,2022-02-28 12:30PM EST,450.0,43.83,45.19,47.37,0.0,-,11,111,23.12%,430.78,0.8690476190476191
62,SPY221230P00451000,2022-02-09 2:41PM EST,451.0,32.67,45.52,47.56,0.0,-,20,23,22.85%,430.78,0.8690476190476191
63,SPY221230P00452000,2022-02-02 3:27PM EST,452.0,33.44,45.96,48.2,0.0,-,1,10,22.85%,430.78,0.8690476190476191
64,SPY221230P00453000,2022-02-22 11:14AM EST,453.0,45.51,46.5,48.74,0.0,-,2,16,22.79%,430.78,0.8690476190476191
65,SPY221230P00454000,2022-01-31 10:41AM EST,454.0,41.26,46.94,49.19,0.0,-,1,0,22.68%,430.78,0.8690476190476191
66,SPY221230P00455000,2022-02-28 12:56PM EST,455.0,46.17,47.44,49.71,0.0,-,1,118,22.60%,430.78,0.8690476190476191
67,SPY221230P00456000,2022-02-28 12:56PM EST,456.0,46.17,47.96,50.25,0.0,-,1,15,22.53%,430.78,0.8690476190476191
68,SPY221230P00457000,2022-02-24 9:36AM EST,457.0,60.37,48.48,50.72,0.0,-,1,5,22.41%,430.78,0.8690476190476191
69,SPY221230P00458000,2022-02-25 12:42PM EST,458.0,44.61,48.94,51.14,0.0,-,1,6,22.26%,430.78,0.8690476190476191
70,SPY221230P00459000,2022-02-25 12:42PM EST,459.0,45.03,49.32,51.68,0.0,-,2,2,22.19%,430.78,0.8690476190476191
71,SPY221230P00460000,2022-02-28 9:34AM EST,460.0,48.96,50.0,52.37,0.0,-,10,92,22.20%,430.78,0.8690476190476191
72,SPY221230P00461000,2022-02-28 9:34AM EST,461.0,49.49,50.53,52.91,0.0,-,10,22,22.12%,430.78,0.8690476190476191
73,SPY221230P00462000,2022-02-22 11:19AM EST,462.0,50.39,50.93,53.3,0.0,-,12,13,21.94%,430.78,0.8690476190476191
74,SPY221230P00464000,2022-01-13 3:12PM EST,464.0,36.63,45.15,47.67,0.0,-,5,6,17.25%,430.78,0.8690476190476191
75,SPY221230P00465000,2022-02-25 3:24PM EST,465.0,48.24,52.61,55.13,0.0,-,8,56,21.80%,430.78,0.8690476190476191
76,SPY221230P00466000,2022-01-20 3:04PM EST,466.0,42.85,49.58,51.48,0.0,-,3,3,18.89%,430.78,0.8690476190476191
77,SPY221230P00467000,2022-02-28 3:27PM EST,467.0,52.0,53.76,56.24,0.0,-,1,5,21.62%,430.78,0.8690476190476191
78,SPY221230P00468000,2022-02-15 1:58PM EST,468.0,45.09,54.33,56.86,0.0,-,21,15,21.57%,430.78,0.8690476190476191
79,SPY221230P00469000,2022-01-26 1:19PM EST,469.0,51.74,49.36,50.89,0.0,-,6,7,16.98%,430.78,0.8690476190476191
80,SPY221230P00470000,2022-02-11 3:24PM EST,470.0,50.28,55.3,57.86,0.0,-,2,31,21.30%,430.78,0.8690476190476191
81,SPY221230P00471000,2022-02-14 10:17AM EST,471.0,50.3,56.02,58.61,0.0,-,4,8,21.33%,430.78,0.8690476190476191
82,SPY221230P00473000,2022-01-27 11:24AM EST,473.0,54.13,51.6,53.18,0.0,-,1,3,16.49%,430.78,0.8690476190476191
83,SPY221230P00474000,2022-02-17 9:40AM EST,474.0,49.26,57.81,60.46,0.0,-,75,77,21.13%,430.78,0.8690476190476191
84,SPY221230P00475000,2022-02-24 10:59AM EST,475.0,68.82,58.42,61.09,0.0,-,1,10,21.06%,430.78,0.8690476190476191
85,SPY221230P00476000,2022-01-10 10:24AM EST,476.0,47.52,43.23,44.62,0.0,-,1,2,0.00%,430.78,0.8690476190476191
86,SPY221230P00477000,2022-01-03 11:15AM EST,477.0,38.01,45.15,46.55,0.0,-,-,2,6.54%,430.78,0.8690476190476191
87,SPY221230P00478000,2022-01-19 11:38AM EST,478.0,47.84,56.55,60.5,0.0,-,7,7,19.08%,430.78,0.8690476190476191
88,SPY221230P00480000,2022-02-25 3:59PM EST,480.0,56.69,61.45,65.12,0.0,-,11,91,21.31%,430.78,0.8690476190476191
89,SPY221230P00485000,2022-01-05 3:39PM EST,485.0,43.25,52.76,54.69,0.0,-,-,1,7.75%,430.78,0.8690476190476191
90,SPY221230P00489000,2022-01-10 10:03AM EST,489.0,52.1,50.0,51.61,0.0,-,-,100,0.00%,430.78,0.8690476190476191
91,SPY221230P00490000,2022-01-24 10:46AM EST,490.0,72.29,69.09,71.52,0.0,-,1,100,20.42%,430.78,0.8690476190476191
92,SPY221230P00491000,2022-01-31 2:10PM EST,491.0,57.14,68.98,71.97,0.0,-,-,1,20.16%,430.78,0.8690476190476191
93,SPY221230P00495000,2022-02-22 10:22AM EST,495.0,68.97,72.17,75.23,0.0,-,-,2,20.22%,430.78,0.8690476190476191
94,SPY221230P00500000,2022-03-01 11:23AM EST,500.0,75.32,75.97,79.15,2.12,+2.90%,1,16,20.13%,430.78,0.8690476190476191
95,SPY221230P00508000,2022-02-28 12:13PM EST,508.0,79.65,82.26,85.81,0.0,-,2,2,20.17%,430.78,0.8690476190476191
96,SPY221230P00510000,2022-02-28 11:06AM EST,510.0,80.0,83.93,87.54,0.0,-,1,8,20.21%,430.78,0.8690476190476191
97,SPY221230P00515000,2022-02-15 9:30AM EST,515.0,75.59,88.45,91.84,0.0,-,5,4,20.26%,430.78,0.8690476190476191
98,SPY221230P00525000,2022-02-14 12:07AM EST,525.0,81.53,97.27,100.83,0.0,-,-,1,20.60%,430.78,0.8690476190476191
99,SPY221230P00530000,2022-01-06 9:49AM EST,530.0,71.47,85.49,88.09,0.0,-,-,1,0.00%,430.78,0.8690476190476191
100,SPY221230P00550000,2022-02-18 9:54AM EST,550.0,114.45,120.74,124.5,0.0,-,4,188,22.15%,430.78,0.8690476190476191
101,SPY221230P00560000,2022-02-17 3:07PM EST,560.0,124.0,130.31,133.94,0.0,-,-,5,22.56%,430.78,0.8690476190476191
102,SPY221230P00565000,2022-02-14 12:07AM EST,565.0,119.45,135.18,138.97,0.0,-,-,-,23.13%,430.78,0.8690476190476191
103,SPY221230P00600000,2022-02-22 3:49PM EST,600.0,172.09,169.42,173.35,0.0,-,3,20,25.75%,430.78,0.8690476190476191
104,SPY221230P00605000,2022-02-18 11:50AM EST,605.0,172.0,174.67,178.54,0.0,-,2,0,26.49%,430.78,0.8690476190476191
